sentiment,comment
not nostalgia,"what happened afterwords though, one hit wonder! like so many a lovely voice but get lost."
nostalgia,Beautiful!!  I remember this and it's lovely!  What a beautiful video you made for us! Thank you for the work of it! 
nostalgia,"I remember this growing up, used to hear it on the radio and my mum used to play it, was one of them tunes thats always stuck with me. Later on in life i used to sing it to my daughter when she was growing up as a toddler (obviously changed it to her name which is Leoni) and it used to bring tears to her eyes. She's im her late teens now, i dont even know if she would remember it."
not nostalgia,what a nice song  one can relax and enjoy this song i love it
not nostalgia,My name is laura n my friend keeps on singing this to me 
nostalgia,This song reminds me of my dad that I lost last year. He one of my dads favourite singers.
nostalgia,this was my grandfathers favorite artist i absolutely love his music great memories come with his music thank you jim reeves
nostalgia,"""Distant Drums"" is maybe the first memory of Jim Reeves and his music. The memory is as dear to me as Reeves' voice. Unforgettable and beautiful."
not nostalgia,Shout out to all the teens (like me) that can appreciate great tunes like this
not nostalgia,A  brilliant song that really highlights a tragedy so well.
nostalgia,banned from radio for been to sad personally i think my bonnie lies over the ocean is sadder and we used to sing that in school lol
not nostalgia,That is such a coincidence because Laura happens to be my 17th favourite name EVER
nostalgia,1960 I was a teenager and this was a very big No. 1.  It was in the charts for weeks.  A very memorable one hit wander
nostalgia,Brings back some good memories lol 
not nostalgia,"Decent version of the song, but until this video compilation I'd never pictured ""Laura"" as a cheap, trailer park skank."
not nostalgia,"do not create music like this anymore and people who have had sorrow knowing laura  it is  a personal thing ,but maybe the music adds comfort"
nostalgia,"My first love was a girl called Laura, a young 14 year old me but i never plucked up the courage to ask her out, we was best of friends for a long time during the early 90s but went our separate ways. 20 years later i found her on Facebook, got in contact, messages got flowing, we met up and 4 years later we married, had kids and living happily ever after. Joking, the first part was true, the later part is bullshit."
not nostalgia,grew up to these sort of songs better than the crap now can hear the words
not nostalgia,"The best music EVER created, and should NEVER be forgotten."
not nostalgia,The video lyrics are wrong in some cases and only half finished in others. 
nostalgia,Laura I remember lived at Blackstone crossroads I wonder where she is now???
not nostalgia,The young lady in this video is certainly not 1960 vintage. She's very much 21st Century.
not nostalgia,What a nice song such nice words made in calmer days not like to day do they make any good songs now?
nostalgia,"Oh I love this song so very much. My Dad use to sing it when I was a child, he had such a beautiful voice and this reminds me of him. Beautiful song .."
nostalgia,"Memories, memories,is sad that they gonna but the music never forget.I love JIM."
nostalgia,"Jim Reeves music reminds me of my grandparents who loved his music and i remember hearing his songs when i was young, and my nan singing along to his his songs RIP nan & grandad "
nostalgia,"I wish I had this experienced head on my younger shoulders back then, things Would have been a lot different."
nostalgia,I love all his songs bring back memories of yesterday
not nostalgia,Why do all the sad songs seem to bear my name?
nostalgia,Old men usually sing this to me. The caretaker at school sang it everyday to me and it was so embarrassing. I just need to find a Tommy now and life would be sweet 
not nostalgia,Please be careful about what you say. You are talking about a person who was the greatest  entertainer of our time thank you.
not nostalgia,This is the greatest concert in the history of music.
not nostalgia,"Gorgeous man, a voice that would melt your heart."
not nostalgia,"He was called the King, but still under-rated. I wish he had known how good he was."
nostalgia,"This played at my Grandad's funeral just over a year ago. It was one of his favorites. I'd kept my composure relatively in-check throughout the service, but as soon as this song started I completely and utterly lost it. My Nan is named Mary too, so it really hit home for all of us. Thinking about it now, this song is very melancholy but also very uplifting, which I guess makes it quite peaceful. There couldn't have been a more perfect song choice."
nostalgia,"Love this song so much, no one can sing it like Jim Reeves!I live in constant chronic pain, I listen to this song, reminds me of dancing with my husband who passed 3 years ago. He worked all over the world mining, when we got engaged we danced to this."
nostalgia,"My parents played this a lot when I was a kid and teen. My father is now living with me in his old age, and listening to this brought back a lot of feelings. My mum when she was alive and younger. My father as a man in his prime."
not nostalgia,You can see from his face when he sings those high notes in the last part how much he's satisfied with that voice and delivery.
not nostalgia,"I take nothing away from James Taylor when I make this statement.  He is no doubt one of the greatest artist in American Music and one of the most prolific song writers of all time. With that said, Taylor may have written this song to mock white blues artist but here's the thing, in my lifetime I've listened to his (Taylor's) version of the tune maybe three times.  "
not nostalgia,MOST  AWESOME SONG EVER AND SUNG BE THE COOLEST PERSON EVER AND HIS NAME IS ELVIS!!!!!!!!!!!!!!
not nostalgia,I just wish I could have seen him live just once. He was the best there will ever be for me.
not nostalgia,Priscilla had been gone over a year at this concert and Elvis appears FINE and enjoying the ride!
not nostalgia,"Just imaging him rolling over me right now lol My he was a stunning gorgeous looking fella. ?He certainly left this earth too soon however left his mark.,"
not nostalgia,"I love all genres of music singing by this  incredible Man,  but blues song  the most. Mr. Presley you were awesome singer. Really the Best of the Best. No doubt, you still do not have comparison  in the World. Great  in so many genres. Still only one."
not nostalgia,I like how he laughs at the beginning of the song then looks to the side.  Would love to know what he was thinking. Always and forever the King of all music
nostalgia,"Good lord, what a time to be alive, take me back to 73???"
not nostalgia,I'd love to hear the background for Elvis playing this 'parody on blues'...it's a great song period!
nostalgia,"Damn!!! I remember this moment when I was 20 or 21 depending on whether it was before or after Oct. 3rd of that year. I reconnected with an old GF I hadn't see in a few years and we hooked up again and her, her mother and I watched this live on TV back then at her mothers house. I think her name was Anna ..who knows what her last name might be now. Also I'd like to acknowledge Anita Macias...who I ran into at a grocery store about 20 years ago or more "
not nostalgia,I think he's his most comfortable with this low down bluesy style of music.. Definitely his roots
not nostalgia,"The greatest then, now and FOREVER! God bless you Elvis ,we miss you my friend."
nostalgia,I was around 6 years old in 73 I had to talk my mother to let me stay up late to to watch this . Elvis the true King
nostalgia,"We're all day to day, but hard to believe he passed less than 4 years after this."
not nostalgia,"Rest in peace Angel from God,unique voice,greatest artist on earth,the most handsome man,I see much sufferience in his eyes! Too much effort in concerts, that s why he died so young!"
not nostalgia,I wonder why he never did a studio recoding of that. It would be perfect for a Masterpiece over 7 Minutes or so.
not nostalgia,"I KEEP coming back to this video,again and again,and other Elvis videos too, Its because there is no one else like Elvis, some one very special in our life time.  gone now, but always can be heard forever,"
not nostalgia,We will "NEVER" forget you Elvis.      This song/tune can be played in the key of ???E??? on your harmonica. I will be making a cover of this song???soooo???Look for it!
not nostalgia,"Absolutely fantastic the greatest singer and entertainer over the world forever and all the time. What's vocalist. Great Glen Hardin , James Burton and all the tcb band.Elvis yuo are in my heart forever. God bless you in heaven."
not nostalgia,What's performance what's voice and music fantastic fantastic. The greatest of all the time.
not nostalgia,"Do not get me wrong... There have been many... But this is yet another masterpiece, a proof of how a great interpreter and his '' back bone '' - as he liked to call them - come together. Amazing, brilliant work!"
not nostalgia,I adore this song. Elvis the biggest singer in music history. The most beautiful and handsome. Hot and sexy. 
nostalgia,"I am always tuning in to Elvis videos on here. how can you ever forget Elvis. I am an oldie. and remember Elvis when he was a younger. Posters of him on my bedroom wall etc,.  His wonderful deep voice,and good looks ,surpass all singers  these days."
not nostalgia,The greatest entertainer that the world will  Ever see no one will ever come close to this man who was sent here by God rest in peace Elvis
not nostalgia,"Elvis must have stolen James Burton from Rickey Nelson. This song is over 40 years old, and rocks!"
not nostalgia,he is still the king always has always will be all others are nothing compared to him if it was not for him they would not be here stealing his music and more
not nostalgia,One of my favorites pure gold perfect can't get any better fantastic 
not nostalgia,"What really made Adam Faith's records so good was the superb backing and the use the pizzicato strings from the John Barry orchestra, he wasn't technically a good singer, but he was a great pop great singer."
nostalgia,"Remember listening to this in a booth at our local chemist, all 1'58"" :) (before I bought it) .... oh my times have changed"
nostalgia,I was only a schoolboy at when I heard this. It brings back happy memories.
nostalgia,Hello Romance and Reflection Just heard this on Golden Years Radio . net and all the 60's music that gets played takes me back to the good old days when I had a rock band called The Presidents. Our recording for Decca in 1965 was lost for 53 years and just released in June 2018 and Golden Years has included it in the play list.  Got the old band back together and made a video so it's me 78 miming to me singing 25 - great fun and who knows we might trend : -)    
nostalgia,It was a great time wasn't it ??
not nostalgia,I was born in the late 50s and grew up in the 60s. my Aunts and Uncles ''Raved'' about Elvis but I always preferred Roy Orbison???s songs as I thought they were more heartfelt and sung with genuine emotion.  Thank you for this
not nostalgia,"If popularity were based solely on talent and feeling, Roy would've been the best-known performer of his generation. My favorite for sure!"
not nostalgia,"There's no soul in today's music, unlike songs from the 50's and 60's."
not nostalgia,"He was a talented singer. His voice was so complexing that I did not know if he was a Soprano,Tenor, Baritone or Bass."
nostalgia,From what I remember he used to sing with a teenage group called the "The Teen Kings"on one of our local tv channels at 6pm. I  would hurry home from school just to hear him sing. Never in my life did I think he was going become such a big star. We even went to some of dances where they played. Those were some great times back then.
not nostalgia,I'm feeling a bit depressed right now about being lonely and then I listened to Roy and I know I'm not alone. 
nostalgia,"my dad died 31 years ago today and listening to the greatest voice ever brings back lovely memories,get your mum to start listening again, it'll do her good. RIP  Mum & Dad"
not nostalgia,"""Only the lonely"" is a classic that wil live on, His legacy  of his work we will continue to enjoy."
not nostalgia,"""Converts my feelings into lyrics"" - nice expression, thanks! Agree completely, great stuff from the Big O. "
not nostalgia,RIGHT ON!!! My 16 year old daughter loves this old rock n roll. She never knew what good music was until I exposed her to great artists like Orbison
nostalgia,we used to play roy orbison lps every Christmas on the stereo gram  our favorite was blue angel  happy times
nostalgia,"My little cousin is 16 and when he was about 2 my aunt used to play Roy Orbison a lot, this was his favorite  song he used to go everywhere singing ""only lonely, only lonely dum dum yeh yeh"" haha. so cute. brings back memories."
not nostalgia,"Wow, I'm 16 years old and really like this song. I hope, one day, those of my age will begin to love this kind of song, which is wonderful."
not nostalgia,he was a fantastic singer all the young ones don???t know what they missed R.I.P roy god bless you 
not nostalgia,"A truly amazing song that brings tears to my eyes.By the way,when Roy passed away in December 1988,he was about to start a UK tour,and my home town Bournemouth would have been his first venue (The Pavillion,Westover Road,Bournemout town centre),in January 1989 RIP Roy-you'll never be forgotton"
not nostalgia,"Roy is the man will be the man a wonderful person, performer. In 2010 my family and I  visited Henderson Tennessee and stood looking at Roy's old house next door to JR Cash site location  (house burnt down) their music will never die. Boys I love you all both, yes sir."
nostalgia,Ya I have got some old pictures my mom took of him when he visited for a concert!
not nostalgia,It's always a pleasure to stumble upon Classics like this!
nostalgia,"Thats an awesome music memory tie-in.  I have a few of those with my brother who died.  Whenever I hear Cat Stevens, I think of my bro.  Roy is the greatest though."
not nostalgia,I will never forget Roy. I will forever cherish his music. Love You Roy Orbison. Your An Magnificent Man. 
nostalgia,Always reminds me of my dad god bless him
nostalgia,"One of my best songs of the 50's and 60's.  I now live with memories of the all times.  These days most, if not all songs are rubbish."
nostalgia,So beautiful and nostalgia..???
nostalgia,fantastic memories of my grandparents listening to this! 
not nostalgia,Beautiful song .. has the late '50s/early '60s beat .. totally unique to the period.
not nostalgia,He had a style all his own. A range that was awesome.
nostalgia,"When I was a little girl, I listened this song.. and I loved it !!!! Thanks a lot !!!! "
nostalgia,"I wore this album out after loosing my first boyfriend,such a voice"
